blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
16609448,1676165927,0xc167a1db7021dbd7e434fb5cb5e9e55a9d04af082a443a79d9625f529c4f8230,1461,0xeeb96eb70d3248c9d4044c0d6c5ad0e9bbd6b91e9aab5f4769355feab3907ccc,0xbb718c12ac938152ed1fb1b3e330f88fc1eb424d,0xed5af388653567af2f388e6224dc7c4b3241c544,0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,8608,Azuki,AZUKI,0,66,398091,16548916261,234474,5704077,deprecated,165
16609443,1676165855,0x8b5e5ad712acae10ae97f6ab1ebbccd966f6597372bb722976bee2f9ea888c82,302,0x91fb0aa784edb37d41edb2eba4e51255aa050292fc73eb29c01e4b54d2952647,0x1e12a0799003dcb2f001f9996fbfb0fd2d739393,0xed5af388653567af2f388e6224dc7c4b3241c544,0x6623286612d38e38587e3d4a10558cd9996600c3,6517,Azuki,AZUKI,0,60,69934,14393476462,69934,4288380,deprecated,170
16609440,1676165819,0x1a7bfe2df42bdb7c0af07e1948a45a8e20bf8f00b3d460df3fdf7dfc12049697,882,0x7e91e1e4091260e9cac654c4e809ab60e5c211b9487095248de597b41a3378c3,0x39da41747a83aee658334415666f3ef92dd0d541,0xed5af388653567af2f388e6224dc7c4b3241c544,0xa9061b9fd4e3ed12713fb64743c01f72ab86d30a,9193,Azuki,AZUKI,0,60,464986,16175246697,357682,4815543,deprecated,173
16609440,1676165819,0x1a7bfe2df42bdb7c0af07e1948a45a8e20bf8f00b3d460df3fdf7dfc12049697,882,0x7e91e1e4091260e9cac654c4e809ab60e5c211b9487095248de597b41a3378c3,0xe853d227822defe1c62d3574efc4257f738d0cee,0xed5af388653567af2f388e6224dc7c4b3241c544,0x39da41747a83aee658334415666f3ef92dd0d541,9193,Azuki,AZUKI,0,60,464986,16175246697,357682,4815543,deprecated,173
16609437,1676165783,0xc1c5a24fd9d3eea866962d02b9f7ed87ed10ab5213b665c6f423c002b8bb99e7,881,0xc092400e5e54d6bc7bfa47378ddf7cf005ba7f9dded21e0bdceddcd342ac4706,0xa9061b9fd4e3ed12713fb64743c01f72ab86d30a,0xed5af388653567af2f388e6224dc7c4b3241c544,0x6893593c695d23f002f9278fa75ae1367ce78d96,5677,Azuki,AZUKI,0,42,337235,15312881028,259412,4974945,deprecated,176
16609386,1676165171,0x2be3dedeccb634ddc8ede0a7588cc85699cb1314653493940dead9810482a0cf,640,0x8657982e7ffa578690474f7af03464bd5777d41d0949e4c1e573d73069f79428,0xba5e0a0513946b275d454e1c2f547249438630d1,0xed5af388653567af2f388e6224dc7c4b3241c544,0xbb718c12ac938152ed1fb1b3e330f88fc1eb424d,8608,Azuki,AZUKI,0,5,219664,50000000000,155454,615281,deprecated,227
16609362,1676164883,0x2e9788448d7c509004f59c56224263e5aed69db18024c7f8b1e893a29dee0e56,8,0x749cf0a0a5e452c069c9a1ff14ace46fa75e953d97b2c5fe9dab4329b5b30501,0xe89884d9f1743ec12dfac444034406715699c181,0xed5af388653567af2f388e6224dc7c4b3241c544,0xba5e0a0513946b275d454e1c2f547249438630d1,8608,Azuki,AZUKI,0,222,76941,14096489637,65146,15587721,deprecated,251
16609271,1676163767,0x513815c38032ecb82a1ae76674f8fb7a7d69693cd3bcb7b5f79b01d2ee79511e,51,0x49e679b05e81e73e84b6f8ee2aaefa12707cdddc9a4b3315fd4cfa8e292cec30,0xfe33515ca6b46c4683fc9b646ea71df2c107ce05,0xed5af388653567af2f388e6224dc7c4b3241c544,0xe89884d9f1743ec12dfac444034406715699c181,8608,Azuki,AZUKI,0,53,1505712,15759339309,781604,4600061,deprecated,342
16609236,1676163347,0x6adbd9e01e6a567c46b709346d3dba396431bab89c06d11de1af34e4778098b2,175,0x12f22115f01bc8fb11b06ce0627b7dc595ff54a66b982814c57dd4eeb210f12c,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,0xed5af388653567af2f388e6224dc7c4b3241c544,0xd46c8648f2ac4ce1a1aace620460fbd24f640853,1952,Azuki,AZUKI,0,90,1208775,14916750891,827556,10930937,deprecated,377
16609236,1676163347,0x6adbd9e01e6a567c46b709346d3dba396431bab89c06d11de1af34e4778098b2,175,0x12f22115f01bc8fb11b06ce0627b7dc595ff54a66b982814c57dd4eeb210f12c,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,0xed5af388653567af2f388e6224dc7c4b3241c544,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,1952,Azuki,AZUKI,0,90,1208775,14916750891,827556,10930937,deprecated,377
16609236,1676163347,0x6adbd9e01e6a567c46b709346d3dba396431bab89c06d11de1af34e4778098b2,175,0x12f22115f01bc8fb11b06ce0627b7dc595ff54a66b982814c57dd4eeb210f12c,0x3b968d2d299b895a5fcf3bba7a64ad0f566e6f88,0xed5af388653567af2f388e6224dc7c4b3241c544,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,1952,Azuki,AZUKI,0,90,1208775,14916750891,827556,10930937,deprecated,377
16609236,1676163347,0x6adbd9e01e6a567c46b709346d3dba396431bab89c06d11de1af34e4778098b2,175,0x12f22115f01bc8fb11b06ce0627b7dc595ff54a66b982814c57dd4eeb210f12c,0x1d7af6c2e93bed6e0898e46c43435e3d5ff4a83d,0xed5af388653567af2f388e6224dc7c4b3241c544,0x3b968d2d299b895a5fcf3bba7a64ad0f566e6f88,1952,Azuki,AZUKI,0,90,1208775,14916750891,827556,10930937,deprecated,377
16609224,1676163203,0x0615a8497388aa3ad29714438b71bbf8d8f167cf20bb7b68bb91e6031fc1f504,1796,0xf6ac5622efe9fa332ae3fe33605d38eb6240932c5e16505f47867f9eb58f7c40,0x805e360f456dee5a774b12ce0a0aedbd38f53ebf,0xed5af388653567af2f388e6224dc7c4b3241c544,0x7e6a90d145ba102c09c83fdc8d7df84f8d1d818a,6727,Azuki,AZUKI,0,70,165574,15110968205,153844,8984361,deprecated,389
16609004,1676160563,0xdd4e664a56a5cd66c77d9d3874ea77e1b07b456b8d97dce7f0ebc78e54b6b585,690,0x095c5288829e3d310932aaf62f065ab765238d4f1b5623ffbd91308de27ca44f,0x81ed580f108446eb80e4e9e7b7f19b5d9bf46c63,0xed5af388653567af2f388e6224dc7c4b3241c544,0xac8b0ce8ab15541b02a823647c4740591b108157,114,Azuki,AZUKI,0,65,165607,15744802786,153876,5056283,deprecated,609
16608953,1676159951,0xce5015595458eb638ed862d470cb1588f7b917a41de9d81446ea7aff2dc35008,173,0xd5dda9798d92212dc9c7b47a98aeb436169d65567b84bd14d14a398de24a0c41,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,0xed5af388653567af2f388e6224dc7c4b3241c544,0x1d7af6c2e93bed6e0898e46c43435e3d5ff4a83d,1952,Azuki,AZUKI,0,96,857826,19580568389,550390,9388175,deprecated,660
16608953,1676159951,0xce5015595458eb638ed862d470cb1588f7b917a41de9d81446ea7aff2dc35008,173,0xd5dda9798d92212dc9c7b47a98aeb436169d65567b84bd14d14a398de24a0c41,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,0xed5af388653567af2f388e6224dc7c4b3241c544,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,1952,Azuki,AZUKI,0,96,857826,19580568389,550390,9388175,deprecated,660
16608953,1676159951,0xce5015595458eb638ed862d470cb1588f7b917a41de9d81446ea7aff2dc35008,173,0xd5dda9798d92212dc9c7b47a98aeb436169d65567b84bd14d14a398de24a0c41,0xd46c8648f2ac4ce1a1aace620460fbd24f640853,0xed5af388653567af2f388e6224dc7c4b3241c544,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,1952,Azuki,AZUKI,0,96,857826,19580568389,550390,9388175,deprecated,660
16608893,1676159219,0x71f95051c8f81c99ea73a82bc9da5e2b0f67373115931fa879d8c0a15016ede5,25,0x65fea7c5979502bc69b03fcbcdb57b85d545a54539cbd40fd1de43c8f6daaea9,0xbb718c12ac938152ed1fb1b3e330f88fc1eb424d,0xed5af388653567af2f388e6224dc7c4b3241c544,0x97f943c3acb92990c27f480c25804dabc5c033bd,6150,Azuki,AZUKI,0,68,183014,14868760391,171012,7755211,deprecated,720
16607856,1676146679,0x51b015f8ade246c5f839e784815519ec3583107707aa10c2d5b00d3e21d6e6c5,2275,0xc2ad0c9185eec09c0152931582dbaa2639330a46fb9d58b215dade26351f977f,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,0xed5af388653567af2f388e6224dc7c4b3241c544,0xd46c8648f2ac4ce1a1aace620460fbd24f640853,7710,Azuki,AZUKI,0,89,1242906,23261656481,859060,10947314,deprecated,1757
16607856,1676146679,0x51b015f8ade246c5f839e784815519ec3583107707aa10c2d5b00d3e21d6e6c5,2275,0xc2ad0c9185eec09c0152931582dbaa2639330a46fb9d58b215dade26351f977f,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,0xed5af388653567af2f388e6224dc7c4b3241c544,0x5f6ac80cdb9e87f3cfa6a90e5140b9a16a361d5c,7710,Azuki,AZUKI,0,89,1242906,23261656481,859060,10947314,deprecated,1757
16607856,1676146679,0x51b015f8ade246c5f839e784815519ec3583107707aa10c2d5b00d3e21d6e6c5,2275,0xc2ad0c9185eec09c0152931582dbaa2639330a46fb9d58b215dade26351f977f,0x3b968d2d299b895a5fcf3bba7a64ad0f566e6f88,0xed5af388653567af2f388e6224dc7c4b3241c544,0x70b97a0da65c15dfb0ffa02aee6fa36e507c2762,7710,Azuki,AZUKI,0,89,1242906,23261656481,859060,10947314,deprecated,1757
16607856,1676146679,0x51b015f8ade246c5f839e784815519ec3583107707aa10c2d5b00d3e21d6e6c5,2275,0xc2ad0c9185eec09c0152931582dbaa2639330a46fb9d58b215dade26351f977f,0xdf9cfdfb1ecb30a88e14743d90c70126fb4c00b3,0xed5af388653567af2f388e6224dc7c4b3241c544,0x3b968d2d299b895a5fcf3bba7a64ad0f566e6f88,7710,Azuki,AZUKI,0,89,1242906,23261656481,859060,10947314,deprecated,1757
16607846,1676146559,0x73c7900ed44c589d33baccfd53894b0eb9ef2fa1dac0505fb7684c73695cf3a0,2274,0x7cb010927f56a193ba1e87f7901882cf04f168b760be15255cc7ca2425408aa2,0xc28f7ee92cd6619e8eec6a70923079fbafb86196,0xed5af388653567af2f388e6224dc7c4b3241c544,0xdf9cfdfb1ecb30a88e14743d90c70126fb4c00b3,7710,Azuki,AZUKI,0,63,182075,21745369660,143915,6550915,deprecated,1767
16607674,1676144495,0xdafda315b7c9338d9c129a036658400409629f9ad2872eb6c94e1bda394c7fcb,258,0xcdce1b7c8c5ac9cc1544c3b9566802fcb0af3e28d253f1881c51f27ddd6842e4,0xaab53d5b3eb632f7d40dc0cdd72aa78105bcb36b,0xed5af388653567af2f388e6224dc7c4b3241c544,0x92c8259eaf59f6e9c43b58adf21d76fa991f5b90,3172,Azuki,AZUKI,0,86,91798,16488856288,65814,8439131,deprecated,1939
16607667,1676144411,0xcaed8c4ebfbb28cbd5ac7eaef75e528ef68c398c591170591dbf3a7aede6b1c1,257,0x205734492f1d92975d54eb5341ea980b8fdde067e796206e322d7e4454ca1dcc,0x7c76cf8894d42ed11b53236da54f05add1d44073,0xed5af388653567af2f388e6224dc7c4b3241c544,0xaab53d5b3eb632f7d40dc0cdd72aa78105bcb36b,3172,Azuki,AZUKI,0,110,235864,17302498600,221308,11221327,deprecated,1946
16607526,1676142719,0x42f9a03a1e164c13df7719d3e3ce74ea9f83ad1e7cf2381d7c427389752fb942,269,0x4ed9b738252e4389562607a5e674f9b09f2942ab0dbd61c403f511bd69dc2a05,0xe52cec0e90115abeb3304baa36bc2655731f7934,0xed5af388653567af2f388e6224dc7c4b3241c544,0xd59b0b92d7eb1ac83f7f54e46e7e244894acc3de,3168,Azuki,AZUKI,0,19,420882,22410205368,222796,1965479,deprecated,2087
16607436,1676141639,0x9add8b82cc64a3c9b06e3dfa54dd965d6a3a9c58d8e5a38c38fecb0265e5a451,17,0x159da533dc5e1a5bea735661d083a96148967a380d6c639da9f87703ee7da8b7,0x55f162642c8702a130a39c5ffb2fd7a24d00dd02,0xed5af388653567af2f388e6224dc7c4b3241c544,0x15c60bf6f78a0d9f50f20385b17e16fd4bdd7442,7801,Azuki,AZUKI,0,14,421248,17255208706,248185,3412380,deprecated,2177
