,body,face,hats,shirt,tier
0,blue cat skin,sunglasses blue,hat black,winter red,wild_1
1,blue cat skin,ninja blue,costume frog,tanktop sailor red,classy_1
2,blue cat skin,beard pirate,mohawk purple,hoodie purple,cool_2
3,blue cat skin,unamused,hat white,buttondown tan,cool_1
4,blue cat skin,sunglasses cool,arrowhead,shirt white,cool_1
5,blue cat skin,sunglasses blue,ninja red,work red,cool_2
6,blue cat skin,mummy,flower red,tshirt red,cool_2
7,blue cat skin,hearts,sunhat tan,epaulette white,classy_1
8,blue cat skin,grin,flower pink,work blue,cool_1
9,blue cat skin,dizzy,arrowhead,tanktop sailor black,cool_2
10,blue cat skin,double face,mohawk purple,tanktop pink,cool_2
11,blue cat skin,ninja blue,beanie blue,hoodie purple,cool_2
12,blue cat skin,unamused,antlers,tanktop white,cool_1
13,blue cat skin,shocked,beanie orange,tshirt pink,cool_1
14,blue cat skin,angry,hat visor yellow,shirt white,cool_1
15,blue cat skin,hearts,beanie red,bandana purple,cool_1
16,blue cat skin,wink,mohawk purple,tshirt green,cool_1
17,blue cat skin,pixel,headband red,baseball red,cool_2
18,blue cat skin,angry cute,bucket hat green,bandana purple,cool_1
19,blue cat skin,hearts,beanie orange,robe blue,cool_1
20,blue cat skin,uwu,beanie red,tanktop white,cool_1
21,blue cat skin,zombie,hat white,tshirt green,cool_2
22,blue cat skin,beard brown,ninja black,tshirt white,wild_2
23,blue cat skin,sunglasses blue,beanie blue,tanktop sailor blue,wild_1
24,blue cat skin,mononoke,beanie red,tanktop pink,cool_2
25,blue cat skin,pixel,beret pink,shirt white,cool_2
26,blue cat skin,mummy,apple,robe blue,cool_2
27,blue cat skin,rich,visor green,labcoat,classy_1
28,blue cat skin,stunned,tvhead white,costume hotdog,exotic_1
29,blue cat skin,happy cute,beanie black,astro orange,classy_1
30,blue cat skin,glasses funny,top hat,hoodie red,classy_2
31,blue cat skin,ditto,arrowhead,hoodie black,wild_1
32,blue cat skin,derp,tvhead purple,buttondown blue flannel,wild_2
33,blue cat skin,dizzy,beret green,chain,cool_2
34,blue cat skin,sunglasses blue,knight red,work red,wild_1
35,blue cat skin,sunglasses cowboy,beret green,bandana green,cool_1
36,blue cat skin,sunglasses heart,hat white,tshirt white,wild_1
37,blue cat skin,mummy,ninja red,sweater green chain,classy_1
38,blue cat skin,grin,candle,tshirt blue,cool_2
39,blue cat skin,wink,sunhat tan,overalls yellow,wild_2
40,blue cat skin,sunglasses pixel,apple,buttondown tan,cool_2
41,blue cat skin,smirk,hat visor yellow,toga,cool_2
42,blue cat skin,unamused,flower red,tanktop sailor blue,cool_2
43,blue cat skin,rich,pirate black,tshirt pink,wild_2
44,blue cat skin,beard brown,beanie blue,knight black,classy_1
45,blue cat skin,angry scar,bucket hat green,tanktop orange,cool_2
46,blue cat skin,sunglasses cool,sunhat white,bandana purple,cool_2
47,blue cat skin,owo,sunhat black,buttondown black flannel,cool_2
48,blue cat skin,smirk,knight red,baseball blue,wild_2
49,blue cat skin,owo,costume dragon,chain,classy_1
50,blue cat skin,angry cute,helm army,robe blue,cool_2
51,blue cat skin,rich,flower red,shirt yellow,cool_2
52,blue cat skin,glossy,pirate red,robe king,classy_1
53,blue cat skin,shocked,unicorn horn,tshirt green,cool_2
54,blue cat skin,unamused,top hat,knight leather,classy_1
55,blue cat skin,pixel,ninja red,cowboy black,wild_2
56,blue cat skin,angry,costume frog,monk,exotic_1
57,blue cat skin,sunglasses heart,beret red,work blue,cool_2
58,blue cat skin,pixel,headband blue,buttondown green,cool_1
59,blue cat skin,hearts,sunhat black,sweater pink,wild_1
60,blue cat skin,shocked,beret green,buttondown green,cool_1
61,blue cat skin,wink,helm bronze,astro,classy_1
62,blue cat skin,mummy,bucket hat white,costume dragon,classy_2
63,blue cat skin,happy,bucket hat tan,hoodie black,cool_2
64,blue cat skin,mononoke,horns,work blue,wild_2
65,blue cat skin,sunglasses cool,crown fire,overalls blue,wild_2
66,blue cat skin,glossy,headband blue,overalls blue,cool_1
67,blue cat skin,angry,hat white,buttondown black flannel,cool_1
68,blue cat skin,three eyes,prince,lederhosen,classy_2
69,blue cat skin,derp,astro fishbowl,bandana green,wild_2
70,blue cat skin,angry cute,beanie orange,shirt white,cool_1
71,blue cat skin,shocked,nurse,pirate red,classy_1
72,blue cat skin,grin,unicorn horn,tanktop sailor red,wild_1
73,blue cat skin,mononoke,unicorn horn,costume gorilla,classy_2
74,blue cat skin,zombie,ninja blue,overalls blue,wild_1
75,blue cat skin,beard tan,arrowhead,shirt white,cool_1
76,blue cat skin,glossy,halo,lederhosen,classy_1
77,blue cat skin,pixel,goggles seaweed,bandana red,wild_1
78,blue cat skin,sunglasses heart,mullet blonde,bandana red,wild_1
79,blue cat skin,mummy,hat black,robe white,wild_2
80,blue cat skin,sunglasses cool,flower red,bandana purple,cool_1
81,blue cat skin,owo,beret pink,overalls blue,cool_2
82,blue cat skin,sunglasses cool,beret black,tshirt metal,wild_1
83,blue cat skin,owo,ninja blue,shirt bowtie,wild_1
84,blue cat skin,glossy,bucket hat green,hoodie red,wild_1
85,blue cat skin,unamused,visor green,shirt bowtie,wild_2
86,blue cat skin,sunglasses cowboy,headband blue,bandana purple,cool_1
87,blue cat skin,owo,deepsea bronze,buttondown green,wild_2
88,blue cat skin,angry,helm army,sweater black,wild_1
89,blue cat skin,sunglasses cool,tvhead grey,buttondown blue flannel,wild_1
90,blue cat skin,ninja red,hat white,tshirt pink,cool_1
91,blue cat skin,uwu,beanie red,baseball blue,cool_2
92,blue cat skin,happy cute,hat white,tanktop pink,cool_1
93,blue cat skin,zombie,flower red,astro,wild_2
94,blue cat skin,unamused,flower red,tshirt green,cool_1
95,blue cat skin,glasses funny,mullet brown,hoodie purple,wild_1
96,blue cat skin,ninja red,mohawk purple,robe blue,cool_1
97,blue cat skin,tired,pirate black,shirt white,wild_1
98,blue cat skin,sunglasses heart,sunhat tan,epaulette red,classy_2
99,blue cat skin,ninja red,knight blue,ninja black,classy_1
100,blue cat skin,angry cute,halo fire,robe king,exotic_1
101,blue cat skin,shocked,admiral,epaulette red,exotic_1
102,blue cat skin,ninja black,admiral,epaulette white,exotic_1
103,blue cat skin,grin,cupcake,bandana green,cool_2
104,blue cat skin,pixel,mohawk green,robe blue,cool_1
105,blue cat skin,owo,mohawk green,overalls blue,cool_1
106,blue cat skin,stunned,wreath,overalls blue,cool_1
107,blue cat skin,glossy,wreath,shirt yellow,cool_1
108,blue cat skin,unamused,helm bronze,hoodie red,classy_1
109,blue cat skin,unamused,headband blue,robe red,cool_1
110,blue cat skin,ninja black,beanie red,work blue,cool_1
111,blue cat skin,sunglasses cool,flower pink,hoodie black,cool_2
112,blue cat skin,happy,mohawk purple,buttondown blue flannel,cool_1
113,blue cat skin,sunglasses blue,admiral,buttondown red flannel,classy_1
114,blue cat skin,ninja blue,bucket hat green,buttondown green,cool_1
115,blue cat skin,happy,flower pink,work red,cool_1
116,blue cat skin,ditto,halo fire,combat black,exotic_2
117,blue cat skin,sunglasses cool,bucket hat tan,overalls flannel,cool_2
118,blue cat skin,glasses funny,deepsea bronze,overalls pink,exotic_1
119,blue cat skin,wink,mohawk red,bandana red,cool_2
