,Type,Hat Color,Pants Color,Hair Style,Pants,Hat,Shirt,Shoes,Overshirt,Overshirt Color,Beard,Shirt Color,Shoes Color,Hair Color,Beard Color,Glasses,Jersey Number,Glasses Color,Necklace,Earring,Tattoo Motif
0,Human,Gray,Camo,Bald,Cargo Pants,Backwards Cap,Skull Tee,Workboots,Athletic Jacket,Red,,,,,,,,,,,
1,Human,Red,,Simple,Ripped Jeans,Trucker Cap,Hoodie,Canvas,,,Full,Red,White,Silver,Silver,,,,,,
2,Human,,Camo,Very Long,Skirt,,Diagonal Tee,Skater,,,,Black,Black,Blonde,,Aviators,,,,,
3,Human,,Black,High Flat Top,Athletic Shorts,,Classic Jersey,Slides,,,Full,Black,,Dark,Dark,,8,,,,
4,Human,,Dark Gray,Pulled Back,Leggings,,Oversized Hoodie,High Tops,,,,Camo,,Auburn,,Aviators,,,,,
5,Human,,Dark Gray,Half-shaved,Skirt,,Halter Top,Skater,,,,Gray,Gray,Blonde,,,,,,,
6,Elephant,,,Bald,Suit Pants,,Suit,Classic,,,,,Gray,,,Frameless,,,,,
7,Human,,Red Plaid,Messy,Athletic Shorts,,Logo Tee,Slides,,,Full,,,Blond,Blond,Elvis,,,,,
8,Human,,Dark Gray,Simple,Regular Pants,,Hoodie Up,Sneakers,,,,Red,Black,Dark,,,,,,,
9,Human,,,Spiky,Ripped Jeans,,Hoodie,Basketball,,,,White,Magenta,Dark,,Specs,,Charcoal,,,
10,Human,,Dark Gray,Wild,Leggings,,Heart Hoodie,Sandals,,,,Purple,Black,Dark,,,,,Gold Necklace,,
11,Human,,Dark Gray,Long,Leggings,,Halter Top,Canvas,,,,Camo,Gray,Light Blue,,,,,,,
12,Human,Gray,Black,Buzzcut,Athletic Shorts,Headphones,Bare Chest,Basketball,,,,,Black,Dark,,Round Glasses,,White,Gold Chain,,
13,Human,,Dark Gray,Buzzcut,Short Leggings,Brimmed,Tee,Skater,,,,Black,Green,Blonde,,,,,Gold Necklace,,
14,Human,,Dark Gray,Wild,Cargo Pants,,Logo Tee,Sneakers,Collar Shirt,Blue Camo,,,Black,Dark,,,,,,,
15,Human,,,Messy,Ripped Jeans,,Logo Tee,Neon Sneakers,Collar Shirt,Argyle,,,,Dark,,,,,,,
16,Human,Purple,Purple,Simple,Athletic Shorts,Headphones,Hoodie,Canvas,,,Stubble,Purple,Purple,Dark,Dark,Elvis,,,,,
17,Human,,Denim,Pulled Back,Skirt,,Basketball Jersey,Canvas,,,,Purple,White,Dark,,Sunglasses,3,,,,
18,Human,,Camo,Spiky,Regular Pants,,Classic Jersey,Canvas,,,,Magenta,Gray,Dark,,,0,,Gold Chain,,
19,Human,,,Spiky,Suit Pants,,Suit,Classic,,,,,Green,Dark,,,,,,,
20,Human,,Magenta,Fade,Athletic Shorts,,Invader Tee,Workboots,,,,Magenta,,Bleached,,Specs,,Charcoal,,,
21,Human,,Luxe,Wild,Skirt,,Halter Top,Skater,,,,Purple,Black,Dark,,Aviators,,,Gold Necklace,Gold Hoops,
22,Human,,Camo,Mohawk,Cargo Pants,,Skull Tee,Canvas,,,,,Gray,Brown,,,,,,,
23,Human,,Camo,Wild,Skirt,,Oversized Hoodie,High Tops,,,,Gray,,Blonde,,,,,,,
24,Human,Black,,Bald,Ripped Jeans,Headphones,Hoodie,Sneakers,,,,Green Plaid,Black,,,,,,,,
25,Human,,Dark Red,Big Bangs,Short Leggings,,Diagonal Tee,Sandals,Trenchcoat,,,Gray,Gray,Brown,,Sunglasses,,,,,
26,Human,,Dark Gray,Long,Skirt,,Suit Jacket,Canvas,,,,,Gray,Blonde,,,,,,Gold Earrings,
27,Human,,Denim,Pulled Back,Leggings,,Heart Hoodie,Skater,,,,Red,Red,Dark,,,,,,Gold Earrings,
28,Human,,Camo,Buzzcut,Skirt,,Ghost Tee,Urban Boots,,,,,,Dark,,Aviators,,,Gold Necklace,,
29,Human,,Denim,One Side,Short Leggings,,Long-sleeved,High Tops,Trenchcoat,,,White,,Silver,,,,,,,
30,Human,Purple,,Buzzcut,Ripped Jeans,Cap,Classic Jersey,LL 86,,,Full,Purple,,Dark,Dark,Round Glasses,8,White,,,"BBBLCLBB,BBBLCLBB"
31,Human,,Dark Gray,Fade,Regular Pants,,Logo Tee,Workboots,,,,,,Dark,,Elvis,,,,,
32,Human,,,Fade,Ripped Jeans,,Logo Tee,Workboots,,,,,,Brown,,,,,,,
33,Human,,Black,Simple,Athletic Shorts,,Invader Tee,Workboots,Collar Shirt,Gray,,Black,,Dyed Red,,,,,,,
34,Human,,,Messy,Ripped Jeans,,Skull Tee,Basketball,Collar Shirt,Yellow,Stubble,,White,Dark,Dark,,,,Gold Chain,,
35,Human,,Camo,Ponytail,Skirt,,Tee,Canvas,,,,Green Plaid,Red,Dark,,,,,,,
36,Human,,,Fade,Ripped Jeans,,Classic Jersey,Classic,,,Biker Mustache,Red,Black,Dark,Dark,,9,,,,"BLCLBBLCLB,BLCLBBLCLB"
37,Human,Magenta,Camo,Straight,Leggings,Headphones,Tube Top,Canvas,,,,Green Plaid,Black,Dark,,,,,,,
38,Human,,,Spiky,Suit Pants,,Suit,Canvas,,,,,Black,Dark,,,,,,,
39,Human,,Blue Camo,Long,Skirt,,Tee,LL Baby Blue,Collar Shirt,Yellow,,Black,,Brown,,,,,,,
40,Human,,Dark Gray,Pulled Back,Short Leggings,,Suit Jacket,Skater,,,,,Black,Light Blue,,Nerdy,,White,Gold Necklace,,
41,Human,Purple,Camo,Straight,Leggings,Cap,Ghost Tee,High Tops,Trenchcoat,,,,,Bleached,,Nerdy,,Charcoal,,,
42,Human,,Dark Red,Ponytail,Short Leggings,,Basketball Jersey,LL RGB,,,,Yellow,,Dark,,Aviators,0,,,Gold Earrings,
